School ID, School Name, Network, Governance, School Type, Community Area, Total, White, African American, Native American or Alaskan, Hispanic, Multi-Racial, Asian, Hawaiian or Pacific Islander
610010, JAHN, Network 4, District, Traditional, NORTH CENTER, 295, 91, 46, 0, 126, 20, 11, 0
610011, JAMIESON, Network 2, District, Traditional, WEST RIDGE, 786, 231, 57, 2, 258, 25, 206, 0
609783, JEFFERSON HS, Network 16, District, Options, NEAR WEST SIDE, 152, 3, 122, 0, 27, 0, 0, 0
610271, JENSEN, Network 5, District, Traditional, EAST GARFIELD PARK, 250, 0, 245, 0, 4, 1, 0, 0
610274, JOHNSON, Network 5, District, Traditional, NORTH LAWNDALE, 220, 3, 203, 2, 9, 1, 0, 0
609678, JONES HS, ISP, District, Traditional, LOOP, 1936, 677, 240, 6, 608, 57, 336, 10
609805, JOPLIN, Network 11, District, Traditional, AUBURN GRESHAM, 330, 0, 306, 0, 24, 0, 0, 0
609865, JORDAN, Network 2, District, Traditional, ROGERS PARK, 499, 52, 131, 2, 260, 5, 38, 4
609764, JUAREZ HS, Network 15, District, Traditional, LOWER WEST SIDE, 1598, 26, 42, 8, 1508, 2, 10, 0
609762, JULIAN HS, Network 16, District, Traditional, WASHINGTON HEIGHTS, 422, 1, 408, 2, 9, 1, 0, 1
610015, JUNGMAN, ISP, District, Traditional, LOWER WEST SIDE, 287, 29, 68, 1, 180, 1, 7, 1
609920, KANOON, Network 7, District, Traditional, SOUTH LAWNDALE, 408, 0, 3, 0, 405, 0, 0, 0
610084, KELLER, Network 10, District, Traditional, MOUNT GREENWOOD, 214, 30, 63, 0, 30, 11, 79, 0
609925, KELLMAN, Network 5, District, Traditional, EAST GARFIELD PARK, 208, 0, 203, 1, 3, 0, 0, 0
610016, KELLOGG, Network 10, District, Traditional, BEVERLY, 282, 28, 244, 0, 8, 1, 1, 0
609715, KELLY HS, Network 16, District, Traditional, BRIGHTON PARK, 1746, 26, 57, 2, 1449, 4, 201, 2
609716, KELVYN PARK HS, Network 14, District, Traditional, HERMOSA, 479, 11, 41, 1, 422, 3, 0, 1
609718, KENNEDY HS, Network 16, District, Traditional, GARFIELD RIDGE, 1642, 230, 63, 2, 1332, 5, 9, 1
609746, KENWOOD HS, Network 17, District, Traditional, KENWOOD, 2324, 107, 1989, 3, 104, 46, 35, 4
610019, KERSHAW, Network 11, District, Traditional, ENGLEWOOD, 213, 0, 206, 0, 7, 0, 0, 0
610022, KILMER, Network 2, District, Traditional, ROGERS PARK, 743, 114, 197, 6, 321, 31, 67, 1
610299, KING ES, Network 11, District, Traditional, ENGLEWOOD, 235, 1, 226, 1, 6, 1, 0, 0
609751, KING HS, Network 17, District, Traditional, KENWOOD, 589, 5, 553, 1, 18, 7, 4, 1
610026, KINZIE, ISP, District, Traditional, GARFIELD RIDGE, 665, 105, 28, 1, 521, 7, 3, 0
610027, KIPLING, ISP, District, Traditional, WASHINGTON HEIGHTS, 229, 0, 226, 0, 3, 0, 0, 0
610030, KOZMINSKI, Network 9, District, Traditional, HYDE PARK, 255, 9, 211, 1, 16, 2, 15, 0
609719, LAKE VIEW HS, Network 14, District, Traditional, LAKE VIEW, 1360, 121, 190, 5, 978, 18, 43, 3
609720, LANE TECH HS, Network 14, District, Traditional, NORTH CENTER, 4488, 1718, 290, 21, 1557, 147, 482, 31
609869, LANGFORD, Network 11, District, Traditional, WEST ENGLEWOOD, 181, 1, 156, 0, 24, 0, 0, 0
609993, LARA, ISP, District, Traditional, NEW CITY, 312, 2, 17, 0, 289, 3, 1, 0
610033, LASALLE, Network 4, District, Traditional, LINCOLN PARK, 489, 163, 176, 0, 91, 27, 32, 0
610520, LASALLE II, ISP, District, Traditional, WEST TOWN, 580, 156, 120, 2, 242, 40, 17, 3
610208, LAVIZZO, Network 13, District, Traditional, ROSELAND, 341, 0, 333, 1, 7, 0, 0, 0
610034, LAWNDALE, Network 5, District, Traditional, NORTH LAWNDALE, 217, 2, 209, 0, 6, 0, 0, 0
610291, LEE, ISP, District, Traditional, WEST LAWN, 629, 8, 7, 0, 614, 0, 0, 0
610305, LELAND, Network 3, District, Traditional, AUSTIN, 374, 0, 348, 0, 19, 3, 0, 3
610298, LENART, ISP, District, Traditional, CHATHAM, 290, 40, 182, 0, 14, 11, 43, 0
610036, LEWIS, Network 3, District, Traditional, AUSTIN, 360, 1, 212, 0, 143, 3, 1, 0
610037, LIBBY, Network 8, District, Traditional, NEW CITY, 255, 4, 157, 0, 93, 1, 0, 0
610038, LINCOLN, Network 4, District, Traditional, LINCOLN PARK, 802, 473, 78, 0, 79, 69, 102, 1
610595, LINCOLN PARK ELC, Network 4, District, Early Childhood, LINCOLN PARK, 31, 9, 4, 0, 6, 1, 10, 0
609738, LINCOLN PARK HS, Network 14, District, Traditional, LINCOLN PARK, 2069, 651, 438, 8, 661, 81, 211, 5
610391, LINDBLOM HS, Network 16, District, Traditional, WEST ENGLEWOOD, 1401, 38, 964, 2, 368, 13, 7, 1
609834, LITTLE VILLAGE, ISP, District, Traditional, SOUTH LAWNDALE, 602, 1, 1, 2, 598, 0, 0, 0
610040, LLOYD, Network 3, District, Traditional, BELMONT CRAGIN, 827, 8, 17, 4, 794, 4, 0, 0
610041, LOCKE J, Network 3, District, Traditional, MONTCLARE, 1141, 113, 42, 0, 961, 6, 14, 5
610541, LORCA, Network 4, District, Traditional, AVONDALE, 625, 24, 14, 1, 582, 2, 1, 1
610043, LOVETT, Network 3, District, Traditional, AUSTIN, 298, 0, 237, 1, 59, 1, 0, 0
610044, LOWELL, Network 5, District, Traditional, HUMBOLDT PARK, 312, 5, 81, 0, 218, 8, 0, 0
610029, LOZANO, Network 6, District, Traditional, WEST TOWN, 158, 9, 36, 1, 105, 5, 2, 0
610046, LYON, Network 3, District, Traditional, BELMONT CRAGIN, 1043, 57, 13, 4, 934, 2, 22, 5
610215, MADERO, Network 7, District, Traditional, SOUTH LAWNDALE, 252, 0, 1, 0, 251, 0, 0, 0
610047, MADISON, Network 12, District, Traditional, SOUTH SHORE, 172, 0, 165, 0, 6, 1, 0, 0
610048, MANIERRE, Network 4, District, Traditional, NEAR NORTH SIDE, 252, 0, 241, 0, 10, 1, 0, 0
609722, MANLEY HS, Network 15, District, Traditional, EAST GARFIELD PARK, 70, 0, 64, 0, 6, 0, 0, 0
610052, MANN, Network 12, District, Traditional, SOUTH CHICAGO, 318, 3, 308, 0, 6, 1, 0, 0
609780, MARINE LEADERSHIP AT AMES HS, Network 14, District, Traditional, LOGAN SQUARE, 698, 18, 12, 0, 665, 0, 2, 0
610053, MARQUETTE, Network 10, District, Traditional, CHICAGO LAWN, 1004, 17, 306, 0, 680, 1, 0, 0
610054, MARSH, ISP, District, Traditional, SOUTH DEERING, 643, 13, 61, 4, 561, 3, 0, 0
609723, MARSHALL HS, Network 15, District, Traditional, EAST GARFIELD PARK, 186, 0, 180, 0, 3, 1, 0, 0
610056, MASON, Network 7, District, Traditional, NORTH LAWNDALE, 216, 0, 211, 0, 5, 0, 0, 0
609724, MATHER HS, Network 14, District, Traditional, WEST RIDGE, 1640, 219, 250, 6, 790, 24, 344, 5
610059, MAYER, Network 4, District, Traditional, LINCOLN PARK, 673, 453, 56, 4, 68, 46, 37, 8
610290, MAYS, Network 11, District, Traditional, ENGLEWOOD, 236, 0, 223, 0, 10, 1, 0, 0
609968, MCAULIFFE, Network 4, District, Traditional, HERMOSA, 571, 12, 27, 2, 523, 6, 0, 1
610062, MCCLELLAN, Network 6, District, Traditional, BRIDGEPORT, 296, 54, 112, 0, 99, 10, 15, 4
610063, MCCORMICK, Network 7, District, Traditional, SOUTH LAWNDALE, 443, 8, 3, 0, 431, 1, 0, 0
610269, MCCUTCHEON, Network 2, District, Traditional, UPTOWN, 305, 21, 150, 3, 76, 11, 44, 0
610066, MCDADE, Network 12, District, Traditional, CHATHAM, 210, 5, 191, 0, 2, 8, 4, 0
610312, MCDOWELL, ISP, District, Traditional, CALUMET HEIGHTS, 116, 0, 114, 0, 2, 0, 0, 0
610067, MCKAY, Network 10, District, Traditional, CHICAGO LAWN, 624, 12, 441, 3, 167, 1, 0, 0
610282, MCNAIR, Network 3, District, Traditional, AUSTIN, 345, 3, 278, 0, 57, 4, 3, 0
610070, MCPHERSON, Network 2, District, Traditional, LINCOLN SQUARE, 664, 153, 58, 0, 372, 46, 35, 0
610293, MELODY, Network 5, District, Traditional, WEST GARFIELD PARK, 273, 1, 263, 0, 9, 0, 0, 0
609902, METCALFE, Network 13, District, Traditional, WEST PULLMAN, 341, 1, 328, 0, 10, 2, 0, 0
610171, MIRELES, Network 12, District, Traditional, SOUTH CHICAGO, 469, 2, 251, 4, 209, 3, 0, 0
610073, MITCHELL, ISP, District, Traditional, WEST TOWN, 381, 184, 32, 0, 142, 15, 7, 1
610276, MOLLISON, Network 9, District, Traditional, GRAND BOULEVARD, 267, 0, 258, 1, 5, 1, 0, 0
610074, MONROE, Network 4, District, Traditional, LOGAN SQUARE, 654, 33, 11, 0, 599, 11, 0, 0
610076, MOOS, Network 5, District, Traditional, WEST TOWN, 433, 37, 63, 0, 319, 12, 2, 0
609725, MORGAN PARK HS, Network 16, District, Traditional, MORGAN PARK, 1108, 10, 1056, 1, 26, 2, 1, 2
610077, MORRILL, Network 10, District, Traditional, CHICAGO LAWN, 515, 7, 147, 2, 359, 0, 0, 0
610257, MORTON, Network 5, District, Traditional, HUMBOLDT PARK, 181, 13, 145, 0, 23, 0, 0, 0
610082, MOUNT GREENWOOD, ISP, District, Traditional, MOUNT GREENWOOD, 1154, 923, 29, 1, 175, 14, 11, 1
610086, MOUNT VERNON, Network 13, District, Traditional, WASHINGTON HEIGHTS, 232, 0, 224, 0, 3, 1, 0, 0
610088, MOZART, Network 4, District, Traditional, LOGAN SQUARE, 481, 14, 32, 1, 433, 0, 1, 0
610385, MULTICULTURAL ARTS HIGH SCHOOL, Network 15, District, Traditional, SOUTH LAWNDALE, 252, 1, 44, 1, 206, 0, 0, 0
610089, MURPHY, Network 1, District, Traditional, IRVING PARK, 495, 154, 22, 2, 290, 13, 11, 1
610090, MURRAY, Network 9, District, Traditional, HYDE PARK, 450, 11, 401, 1, 13, 15, 2, 0
610092, NASH, Network 3, District, Traditional, AUSTIN, 230, 0, 195, 0, 33, 1, 1, 0
610231, NATIONAL TEACHERS, AUSL, District, Traditional, NEAR SOUTH SIDE, 754, 85, 545, 0, 45, 36, 38, 2
610093, NEIL, Network 12, District, Traditional, CHATHAM, 253, 2, 233, 0, 8, 1, 1, 0
610094, NETTELHORST, Network 4, District, Traditional, LAKE VIEW, 616, 347, 53, 2, 91, 62, 58, 3
610284, NEW FIELD, Network 2, District, Traditional, ROGERS PARK, 515, 65, 158, 1, 217, 39, 31, 2
610193, NEW SULLIVAN, Network 12, District, Traditional, SOUTH CHICAGO, 390, 18, 286, 2, 71, 4, 0, 0
610095, NEWBERRY, Network 4, District, Traditional, LINCOLN PARK, 366, 20, 245, 1, 75, 17, 7, 0
609793, NICHOLSON, Network 11, District, Traditional, ENGLEWOOD, 438, 1, 416, 0, 20, 0, 1, 0
610096, NIGHTINGALE, Network 8, District, Traditional, GAGE PARK, 971, 8, 6, 11, 945, 1, 0, 0
609961, NINOS HEROES, Network 12, District, Traditional, SOUTH CHICAGO, 300, 0, 262, 0, 38, 0, 0, 0
610097, NIXON, Network 4, District, Traditional, HERMOSA, 588, 7, 15, 1, 562, 2, 1, 0
610098, NOBEL, ISP, District, Traditional, HUMBOLDT PARK, 571, 6, 83, 2, 478, 2, 0, 0
610354, NORTH RIVER, Network 1, District, Traditional, ALBANY PARK, 212, 8, 7, 0, 174, 1, 5, 2
609691, NORTH-GRAND HS, Network 15, District, Traditional, HUMBOLDT PARK, 1059, 9, 197, 6, 839, 3, 4, 1
609744, NORTHSIDE LEARNING HS, Network 14, District, Specialty, NORTH PARK, 271, 51, 47, 1, 148, 4, 19, 1
